date,r
2014-01-14,0.0006245789534913303
2014-01-15,0.0007235929062534052
2014-01-16,-0.0005943753030594623
2014-01-17,-0.00021192562622931313
2014-01-20,5.924092418365119e-05
2014-01-21,-9.854887399638016e-05
2014-01-22,1.2423483762416583e-05
2014-01-23,-0.001112199898973892
2014-01-24,-0.0021740288329050424
2014-01-27,0.000100830690445693
2014-01-28,0.0013445979612822878
2014-01-29,-0.0012836000631665297
2014-01-30,0.00042961551895822676
2014-01-31,6.738653328152604e-05
2014-02-03,-0.001272385251292723
2014-02-04,0.0007423793530189725
2014-02-05,5.925639788373446e-05
2014-02-06,0.0014124551536840748
2014-02-07,0.0011070026618670073
2014-02-10,-4.052797844833277e-05
2014-02-11,0.001066025046961047
2014-02-12,0.00010619110666610333
2014-02-13,0.00028170565897309065
2014-02-14,0.0003906873390454729
2014-02-17,4.932634564724723e-05
2014-02-18,-1.517929863228734e-05
2014-02-19,-0.0009258695961259196
2014-02-20,0.0006225032523560201
2014-02-21,-0.0001329604541828324
2014-02-24,0.0006281265856304214
2014-02-25,-0.0002500475048900291
2014-02-26,-3.898207473128571e-05
2014-02-27,0.00037405788097449915
2014-02-28,0.00015675273486272644
2014-03-03,-0.0007822007477032041
2014-03-04,0.0012189301711145208
2014-03-05,0.00014493187434155955
2014-03-06,-2.5394414135416e-05
2014-03-07,-0.0004225408485761453
2014-03-10,7.384718120002318e-05
2014-03-11,-0.0002753695840296831
2014-03-12,-0.000495519159629011
2014-03-13,-0.0010708899443445552
2014-03-14,7.123184439883704e-05
2014-03-17,0.0011923255978587906
2014-03-18,0.0008261531967334563
2014-03-19,-0.000575670896148378
2014-03-20,0.0007912065161428091
2014-03-21,0.0005310128838138625
2014-03-24,-0.0004721554756078045
2014-03-25,0.00023221018205002062
2014-03-26,-0.0002672907404677552
2014-03-27,0.0003901089223494982
2014-03-28,0.0003599640068127611
2014-03-31,0.0007148442267527916
2014-04-01,0.0008476290485860563
2014-04-02,0.0001223816939972214
2014-04-03,0.00023725959639334538
2014-04-04,-6.30395564837324e-05
2014-04-07,-0.000435257435975842
2014-04-08,0.00018649890353036704
2014-04-09,0.0011432857968942227
2014-04-10,-0.0010959493615094937
2014-04-11,-0.0009030765259991633
2014-04-14,0.0006606847852528877
2014-04-15,-0.00025973169090342195
2014-04-16,0.0004414370324073574
2014-04-17,0.00013290790521110435
2014-04-18,3.1589027963496534e-07
2014-04-21,0.000562413892626192
2014-04-22,0.0007069408041627727
2014-04-23,-0.00021632316502991514
2014-04-24,-1.0718534613290582e-07
2014-04-25,-0.0005837258964472731
2014-04-28,0.0006619913797717272
2014-04-29,0.00012756457975443206
2014-04-30,0.0007511133226723955
2014-05-01,5.736653530110272e-05
2014-05-02,-1.652086837867376e-05
2014-05-05,-3.5960295946747836e-05
2014-05-06,-0.0006170307745410647
2014-05-07,0.0004681285596743193
2014-05-08,0.0003581811918396506
2014-05-09,0.0002007961185324891
2014-05-12,0.0006578360840943749
2014-05-13,3.536489022955196e-05
2014-05-14,-0.0003380777685012281
2014-05-15,-0.0009204329790944107
2014-05-16,0.0002291933913967143
2014-05-19,-4.328542152264123e-05
2014-05-20,-0.0005312996737233728
2014-05-21,0.0004630437078925719
2014-05-22,0.0007105290993034615
2014-05-23,0.0002737958646814728
2014-05-26,5.832737219630467e-05
2014-05-27,0.00037730759096976245
2014-05-28,-7.453252632824215e-05
2014-05-29,0.00026594715716311807
2014-05-30,2.671757124368937e-05
2014-06-02,6.45399463992525e-05
2014-06-03,7.70453892387878e-05
2014-06-04,1.0487166537083006e-05
2014-06-05,0.0009659275622240215
2014-06-06,0.00140300596513836
2014-06-09,3.3130992615453756e-05
2014-06-10,-5.216480320649114e-05
2014-06-11,-0.0005650380755548981
2014-06-12,-0.0007835953270299511
2014-06-13,0.00017682785031887947
2014-06-16,-0.00018135741803175807
2014-06-17,0.00017296697618513613
2014-06-18,0.0014307668874672073
2014-06-19,0.00038434314313382883
2014-06-20,-0.00022459971991198557
2014-06-23,0.0004220851111684508
2014-06-24,-0.00040489608736835644
2014-06-25,0.0003100990460205561
2014-06-26,-0.0002379988295553319
2014-06-27,-0.00035569925247016837
2014-06-30,-0.00044238226063111083
2014-07-01,0.0009986260669671858
2014-07-02,-0.00013813247417610865
2014-07-03,0.0007813330706982613
2014-07-07,-0.0003277155517905814
2014-07-08,-0.0007685945919742601
2014-07-09,0.00027727912408882544
2014-07-10,-0.00026200666828136233
2014-07-11,-0.00017780985233992424
2014-07-14,0.0005703952069038801
2014-07-15,-0.00017642689666944888
2014-07-16,0.00025557288071178077
2014-07-17,-0.0015275681516397474
2014-07-18,0.0008583695176535565
2014-07-21,-0.0003759700837599131
2014-07-22,0.0003790075914964794
2014-07-23,6.590121929250136e-05
2014-07-24,-4.478606181868243e-05
2014-07-25,-0.0003780111620256744
2014-07-28,1.9881268568739454e-05
2014-07-29,-0.0003061082401182925
2014-07-30,6.6839588581359915e-06
2014-07-31,-0.00186890736623103
2014-08-01,-0.0010618356275840719
2014-08-04,0.0014123924060403252
2014-08-05,-0.00081424154600142
2014-08-06,-0.00012493264299697512
2014-08-07,-0.0007442719780034112
2014-08-08,0.0013373655217621416
2014-08-11,0.0008507963200653531
2014-08-12,-2.6097336464741852e-05
2014-08-13,0.0012690012662482176
2014-08-14,0.0005166123951472084
2014-08-15,-0.00010918882149716225
2014-08-18,0.0012586383234430237
2014-08-19,-0.00010530535107242925
2014-08-20,-0.00018554250945848621
2014-08-21,0.0006651673813376032
2014-08-22,-0.0007177371133087766
